id,role,display_title,relative_path,open_larger,module,section,provenance_type,provenance_detail,source_url,drive_file_id,generation_conversation,generation_prompt,alt,caption,source_boundary,semantic_audit,plan_status,sha256,bytes,format,width,height,page_count
hero,hero,Year 8 Agriculture course hero,assets/agriculture-hero.png,assets/agriculture-hero.png,,,generated,Generated as one image in signed-in ChatGPT after Drive-first source inspection.,https://drive.google.com/drive/folders/1jCfJPg6pE-r3lrmhyKSHBZGUzHz95fbP,,https://chatgpt.com/c/6a722448-dd18-83ec-9e71-c35eb01d407c,"Create one image only.
Use case: photorealistic-natural
Asset type: wide landing-page hero for an Australian Stage 4 Agriculture course
Primary request: an authentic, uncluttered rural New South Wales mixed-agriculture landscape that represents food and fibre production without becoming a collage
Scene/backdrop: broad sunlit paddocks with a small cattle group in the middle distance, a neat strip of vegetable rows and orchard, grain crop, and one modest poultry shed far in the background
Style/medium: high-quality documentary agricultural photography, realistic Australian vegetation and dry-warm landscape textures
Composition/framing: 3:2 landscape, raised eye-level view, a strong single landscape composition, generous calm negative space across the left sky and foreground for webpage copy
Lighting/mood: soft early-morning light, calm, credible, welcoming
Constraints: no text, no logos, no labels, no infographic panels, no people, no close-up animal faces, no branded equipment, no exaggerated saturation
Avoid: montage, fantasy farm, multiple panels, fake technical diagrams, impossible species combinations, overly busy composition, watermark","Wide Australian mixed-agriculture landscape with cattle, orchard, vegetable rows and grain fields.","Course context only. Supplied lessons and current teacher directions control exact facts, locations, animal care and practical work.","No location, production, welfare or industry-data claim is encoded.",PASS — contextual landscape; no text or pseudo-data.,No current authoritative project plan is supplied. Teacher to confirm/provide current plan and task requirement.,4423BE0D04386F5CD38C70C5FDF800EAF5BD22B52C909FDA0A91DE0FA865EAC1,2718195,png,1536,1024,
folio-01,folio_card,Agriculture in daily life and industry sectors,assets/visuals/folio-card-01.png,assets/visuals/folio-card-01.png,1,,generated,Generated as one image in signed-in ChatGPT after Drive-first source inspection.,https://drive.google.com/drive/folders/1jCfJPg6pE-r3lrmhyKSHBZGUzHz95fbP,,https://chatgpt.com/c/6a722448-dd18-83ec-9e71-c35eb01d407c,"Create one image only.
Use case: photorealistic-natural
Asset type: folio card 1 - Agriculture in daily life and industry sectors
Primary request: an authentic Australian school agriculture learning scene showing everyday food-and-fibre connections
Scene/backdrop: sunlit classroom worktable beside an open window looking toward paddocks; a student's hands calmly sort a small, realistic selection of wheat heads, wool fleece, vegetables, eggs and a plain milk bottle around a blank notebook
Style/medium: natural documentary photography, credible Year 8 learning environment
Composition/framing: 3:2 landscape, coherent single scene, hands only, clear central evidence arrangement with breathing room
Lighting/mood: warm natural daylight, practical and curious
Constraints: no readable text, no logos, no labels, no scores, no infographic panels, no fabricated statistics, no brand packaging
Avoid: montage, excessive produce, fake farm equipment, staged advertising, watermark","Student hands examine wheat, wool, eggs, vegetables and a plain milk bottle beside a blank notebook.",Everyday food-and-fibre observation prompt. Verified theory supplies the industry-sector definitions and classifications.,The visible items connect daily life to agriculture but do not classify industry sectors.,PASS — observable prompt with explicit adjacent-text boundary.,No current authoritative project plan is supplied. Teacher to confirm/provide current plan and task requirement.,8374DA1DE00DE7F6D4EAA86FA9121D2A128135DED050C8881226DB561FB1B485,2434127,png,1536,1024,
folio-02,folio_card,"Agriculture, sustainability and food security",assets/visuals/folio-card-02.png,assets/visuals/folio-card-02.png,2,,generated,Generated as one image in signed-in ChatGPT after Drive-first source inspection.,https://drive.google.com/drive/folders/1jCfJPg6pE-r3lrmhyKSHBZGUzHz95fbP,,https://chatgpt.com/c/6a722448-dd18-83ec-9e71-c35eb01d407c,"Create one image only.
Use case: photorealistic-natural
Asset type: folio card 2 - Agriculture, sustainability and food security
Primary request: a credible evidence scene connecting responsible resource use with reliable food supply
Scene/backdrop: an Australian farm packing area with reusable crates of fresh seasonal produce in the foreground; beside them, a student's hands compare a clear soil sample jar, a small rain gauge and a blank planning sheet; productive fields visible beyond
Style/medium: natural documentary photography, realistic school agriculture context
Composition/framing: 3:2 landscape, single coherent scene, restrained objects, hands only, strong depth
Lighting/mood: soft morning daylight, thoughtful and practical
Constraints: no readable text, no logos, no labels, no maps with data, no claims about yields, no invented measurements, no infographic panels
Avoid: environmental propaganda, perfect fantasy crops, plastic-heavy advertising, montage, watermark",Student hands compare a soil sample and clear water observation beside crates of vegetables at a farm packing area.,"Soil, water and produce observation only. The image does not encode the four food-security dimensions; verified theory defines them.","Do not infer availability, access, use or stability from the image alone.",PASS — observable prompt with explicit adjacent-text boundary.,No current authoritative project plan is supplied. Teacher to confirm/provide current plan and task requirement.,629E71ECF69C350C64626E356C05911121D207A8647ED01F3E6FA54D4EEBD442,2357725,png,1536,1024,
folio-03,folio_card,Beef breeds and adaptation,assets/visuals/folio-card-03.png,assets/visuals/folio-card-03.png,3,,generated,Generated as one image in signed-in ChatGPT after Drive-first source inspection.,https://drive.google.com/drive/folders/1jCfJPg6pE-r3lrmhyKSHBZGUzHz95fbP,,https://chatgpt.com/c/6a722448-dd18-83ec-9e71-c35eb01d407c,"Create one image only.
Use case: photorealistic-natural
Asset type: folio card 3 - Beef breeds and adaptation
Primary request: a credible Australian cattle-observation scene for comparing visible breed characteristics and adaptation
Scene/backdrop: two small groups of healthy beef cattle with clearly contrasting coat colour and body type grazing in neighbouring dry-temperate paddocks, shade trees and distant hills; a student's hands at a fence hold a blank field notebook
Style/medium: natural documentary agricultural photography
Composition/framing: 3:2 landscape, cattle shown at respectful middle distance, single coherent field scene, hands only in a lower corner
Lighting/mood: clear natural daylight, observational and calm
Constraints: no breed labels, no ear-tag text, no logos, no measurements, no claims that appearance alone proves breed or performance
Avoid: show-ring posing, extreme body shapes, close-up faces, unsafe animal contact, collage, watermark",Student hands hold a blank notebook while dark- and light-coated cattle graze at middle distance.,Cattle observation prompt only. Appearance cannot identify a breed or Bos group; classification and adaptation reasoning come from verified lesson sources.,"No breed, Bos group, adaptation or performance conclusion may be drawn from appearance alone.",PASS — observable prompt with explicit adjacent-text boundary.,No current authoritative project plan is supplied. Teacher to confirm/provide current plan and task requirement.,DED4338DF7D48BD383010BD5B4A57BB7D1090F5A81D3A13E1A07E7F697B49056,3789441,png,1536,1024,
folio-04,folio_card,Build a beef farm - system decision,assets/visuals/folio-card-04.png,assets/visuals/folio-card-04.png,4,,generated,Generated as one image in signed-in ChatGPT after Drive-first source inspection.,https://drive.google.com/drive/folders/1jCfJPg6pE-r3lrmhyKSHBZGUzHz95fbP,,https://chatgpt.com/c/6a722448-dd18-83ec-9e71-c35eb01d407c,"Create one image only.
Use case: photorealistic-natural
Asset type: folio card 4 - Build a beef farm - system decision
Primary request: a school design-thinking scene about comparing beef-farm system choices without presenting a real or approved farm plan
Scene/backdrop: student's hands at a classroom table arrange a few simple unlabelled wooden tokens representing pasture, water access, shade and cattle beside three blank photo cards of contrasting Australian farm conditions
Style/medium: realistic documentary photography, tactile classroom decision activity
Composition/framing: 3:2 landscape, overhead-oblique view, orderly and easy to read as comparison work
Lighting/mood: natural daylight, analytical and practical
Constraints: no scale, no dimensions, no quantities, no animal capacity, no plot boundaries, no safety zones, no readable text, no approved layout, no technical drawing
Avoid: blueprint appearance, complete farm map, toy-like cartoon, infographic panels, watermark","Student hands arrange neutral pasture, water, shade and cattle tokens beside photographs of contrasting farm conditions.","Conceptual beef-system comparison prompt only. Module 4 supplies a blank title slide, not a plan, brief, criteria or approved design.","No layout, property fact, dimension, quantity, capacity, safety zone or approval is supplied or implied.",PASS — observable prompt with explicit adjacent-text boundary.,No current authoritative project plan is supplied. Teacher to confirm/provide current plan and task requirement.,294F358224697D2DB4BF0A89B585FCC0CEC5B0E13289AFF3941E24542FD423F8,2736693,png,1536,1024,
folio-05,folio_card,"Dairy breeds, regions and farm routines",assets/visuals/folio-card-05.png,assets/visuals/folio-card-05.png,5,,generated,Generated as one image in signed-in ChatGPT after Drive-first source inspection.,https://drive.google.com/drive/folders/1jCfJPg6pE-r3lrmhyKSHBZGUzHz95fbP,,https://chatgpt.com/c/6a722448-dd18-83ec-9e71-c35eb01d407c,"Create one image only.
Use case: photorealistic-natural
Asset type: folio card 5 - Dairy breeds, regions and farm routines
Primary request: a credible Australian dairy observation and routine-planning scene that does not identify any cow by breed
Scene/backdrop: healthy dairy cattle of varied but ordinary coat patterns at respectful middle distance in a green-temperate paddock beside a plain milking shed; in the foreground, a student's hands arrange three blank routine-sequence cards beside a blank field notebook
Style/medium: natural documentary agricultural photography, realistic Year 8 learning context
Composition/framing: 3:2 landscape, single coherent scene, hands only in a lower corner, uncluttered evidence arrangement
Lighting/mood: soft early-morning light, calm and observant
Constraints: no breed names or implied breed identities, no region labels, no maps, no readable text, no milking procedure, no equipment settings, no production figures, no welfare claims, no logos
Avoid: famous-breed portrait lineup, show-ring posing, infographic panels, close-up udders, unsafe contact, watermark",Student hands arrange blank routine cards while dairy cattle stand near a plain milking shed.,Dairy observation and routine-sequencing prompt. No cow is identified as a breed and no region or routine is supplied by the image.,The Module 5 image key is disputed; identities and regional claims require independently verified lesson evidence.,PASS — observable prompt with explicit adjacent-text boundary.,No current authoritative project plan is supplied. Teacher to confirm/provide current plan and task requirement.,D43BDB57641006DA116354FD89703AF9290A245792EE5B34854EC9CDA60CE5F8,2627796,png,1536,1024,
folio-06,folio_card,Milk processing and nutrition flow,assets/visuals/folio-card-06.png,assets/visuals/folio-card-06.png,6,,generated,Generated as one image in signed-in ChatGPT after Drive-first source inspection.,https://drive.google.com/drive/folders/1jCfJPg6pE-r3lrmhyKSHBZGUzHz95fbP,,https://chatgpt.com/c/6a722448-dd18-83ec-9e71-c35eb01d407c,"Create one image only.
Use case: photorealistic-natural
Asset type: folio card 6 - Milk processing and nutrition flow
Primary request: a credible evidence scene for tracing milk from farm collection through processing and into a later nutrition discussion, without presenting unsupported health claims
Scene/backdrop: a clean Australian dairy processing viewing area with stainless tanks and sealed pipework in the middle distance; in the foreground, a student's hands arrange four blank photo-sequence cards beside an unbranded sealed milk bottle and an empty notebook
Style/medium: natural documentary photography, realistic school-industry learning context
Composition/framing: 3:2 landscape, one coherent scene, hands only, clear foreground-to-background flow
Lighting/mood: clean soft daylight, orderly and analytical
Constraints: no readable text, no logos, no nutrition claims, no serving sizes, no temperatures, no processing times, no equipment settings, no step-by-step procedure, no product advertising
Avoid: infographic arrows, medical imagery, exaggerated cleanliness, open machinery access, collage, watermark",Student hands arrange blank sequence cards beside a sealed milk bottle with closed dairy-processing equipment behind.,"Processing and nutrition evidence prompt. Verified theory supplies the sequence, controls and nutrition information.","No temperature, time, equipment setting, nutrient claim, serving advice or personal health advice is encoded.",PASS — observable prompt with explicit adjacent-text boundary.,No current authoritative project plan is supplied. Teacher to confirm/provide current plan and task requirement.,E179894AB5FC62E268E0264BBE998B22051F35E533FDF1620DE75814B9EA0839,2305286,png,1536,1024,
folio-07,folio_card,Horticulture regions and growing conditions,assets/visuals/folio-card-07.png,assets/visuals/folio-card-07.png,7,,generated,Generated as one image in signed-in ChatGPT after Drive-first source inspection.,https://drive.google.com/drive/folders/1jCfJPg6pE-r3lrmhyKSHBZGUzHz95fbP,,https://chatgpt.com/c/6a722448-dd18-83ec-9e71-c35eb01d407c,"Create one image only.
Use case: photorealistic-natural
Asset type: folio card 7 - Horticulture regions and growing conditions
Primary request: a credible Australian horticulture observation scene for comparing visible growing conditions without claiming a named region
Scene/backdrop: productive vegetable rows beside a modest orchard and simple greenhouse in one temperate farm landscape; in the foreground, a student's hands compare a soil sample jar, a leaf specimen and a blank weather-observation card
Style/medium: natural documentary agricultural photography
Composition/framing: 3:2 landscape, single coherent location, hands only in a lower corner, uncluttered evidence focus
Lighting/mood: bright soft daylight, attentive and practical
Constraints: no region names, no map, no readable text, no climate data, no measurements, no yield claims, no chemical application, no ideal-growing-condition claim, no logos
Avoid: impossible all-season harvest, perfect fantasy crops, labelled diagram, collage, watermark","Student hands compare a soil sample and leaf beside vegetable rows, an orchard and a modest greenhouse.",Horticulture growing-condition observation prompt. Crop-region matches and production reasoning require verified sources.,"No named region, climate measurement, yield, treatment or suitability verdict is supplied.",PASS — observable prompt with explicit adjacent-text boundary.,No current authoritative project plan is supplied. Teacher to confirm/provide current plan and task requirement.,EE15C7416CC883E735FDC86FFF0A5015D88049DFB7CDA4891F73D63AD3B0BAB2,2915353,png,1536,1024,
folio-08,folio_card,"Paddock to plate, robotics and healthy choice",assets/visuals/folio-card-08.png,assets/visuals/folio-card-08.png,8,,generated,Generated as one image in signed-in ChatGPT after Drive-first source inspection.,https://drive.google.com/drive/folders/1jCfJPg6pE-r3lrmhyKSHBZGUzHz95fbP,,https://chatgpt.com/c/6a722448-dd18-83ec-9e71-c35eb01d407c,"Create one image only.
Use case: photorealistic-natural
Asset type: folio card 8 - Paddock to plate, robotics and healthy choice
Primary request: a credible farm-to-food technology observation scene that supports later student evaluation without making health or efficiency claims
Scene/backdrop: a modern Australian produce packing area where one small guarded robotic arm gently transfers plain apples and vegetables between unbranded crates; in the foreground, a student's hands hold a blank evidence sheet beside one piece of fresh produce
Style/medium: natural documentary photography, technically plausible food-handling setting
Composition/framing: 3:2 landscape, single coherent scene, machinery safely separated in the middle distance, hands only in foreground
Lighting/mood: clean natural-industrial light, thoughtful and contemporary
Constraints: no readable text, no logos, no nutrition or healthy-choice claims, no efficiency figures, no trade data, no equipment settings, no unsafe machine access, no arrows or infographic panels
Avoid: humanoid robot, futuristic fantasy factory, medical symbolism, branded packaging, collage, watermark",Student hands hold a blank evidence sheet near a guarded robotic arm moving produce in a packing area.,"Technology observation prompt. Supply-chain stages, technology decisions and balanced-choice reasoning come from verified theory.","No equipment setting, efficiency, trade, nutrition or personal health claim is encoded.",PASS — observable prompt with explicit adjacent-text boundary.,No current authoritative project plan is supplied. Teacher to confirm/provide current plan and task requirement.,055327A2C30CC30063BB63CC3B4EE6437E4CC435634D5939603AD7FB04BA765C,2542863,png,1536,1024,
folio-09,folio_card,"Australian pork, labels and breeding",assets/visuals/folio-card-09.png,assets/visuals/folio-card-09.png,9,,generated,Generated as one image in signed-in ChatGPT after Drive-first source inspection.,https://drive.google.com/drive/folders/1jCfJPg6pE-r3lrmhyKSHBZGUzHz95fbP,,https://chatgpt.com/c/6a722448-dd18-83ec-9e71-c35eb01d407c,"Create one image only.
Use case: photorealistic-natural
Asset type: folio card 9 - Australian pork, labels and breeding
Primary request: a credible classroom evidence scene for examining packaging information and visible pig characteristics without supplying answers or breed identities
Scene/backdrop: a student's hands at a clean classroom table compare two sealed unbranded pork packages with completely blank label panels and two plain farm photographs showing healthy pigs with different visible coat patterns; a blank notebook sits beside them
Style/medium: natural documentary photography, realistic Year 8 food-and-agriculture learning context
Composition/framing: 3:2 landscape, overhead-oblique single scene, restrained objects and clear comparison layout
Lighting/mood: soft natural daylight, analytical and calm
Constraints: no readable text, no logos, no label claims, no country-of-origin symbols, no prices, no certification marks, no breed names or implied breed identification, no production statistics, no graphic processing imagery
Avoid: advertising, butcher-shop styling, nationalistic symbols, infographic panels, collage effect, watermark",Student hands compare sealed unbranded pork packages with blank label panels and unlabelled pig photographs.,"Packaging and pig-observation prompt. Actual label evidence and verified sources control origin, product and breeding conclusions.","The image supplies no label answer, country, certification, breed identity, parentage or production claim.",PASS — observable prompt with explicit adjacent-text boundary.,No current authoritative project plan is supplied. Teacher to confirm/provide current plan and task requirement.,D1578731271798DFEFA6154F04CD64438AE304DAB25D2098C1AABB2681AEE2CF,2817632,png,1536,1024,
