path,file_id,mime_type,module,role,authority_status
"/Year 8","1X__4G3fz6JNVT88cUQkzyV-ak26cqDUY","application/vnd.google-apps.folder","","container","Drive container"
"/chook booklet 78 tech.pdf","1ikxQgm3eazo4VWM0daKuBXX2hNkt7MKD","application/pdf","legacy","supplementary poultry worksheets/reference","Legacy supplementary only; not current programme, plan, WHS or factual authority"
"/Stage 4 - Year 8 Work Booklet","1s6XCN6I8AMHcUxg9cjseRSgvGRiu6IXGJb201QJBMOQ","application/vnd.google-apps.document","legacy","supplementary workbook and embedded images","Legacy supplementary only; not current programme, plan, WHS or factual authority"
"/Year 8/2026","1Xs_4kwIpp1b-tNongrs2STuOo_GNnMkm","application/vnd.google-apps.folder","","container","Drive container for current supplied sequence"
"/Year 8/2026/1.1 Introduction to Agriculture - Lesson Plan.docx","15UNTx2i4r5e66rjd7G_iGd8wZC5Y08zO","application/vnd.openxmlformats-officedocument.wordprocessingml.document","1","lesson plan","Authoritative for intended source sequence and 50-minute source lesson; not factual authority"
"/Year 8/2026/1.2 Introduction to Agriculture","1IBsQ9ODauzTGRZMIZoK3SqMFIxSguqReEYTsrIJf1Ak","application/vnd.google-apps.presentation","1","theory slides","Teaching-intent source; factual claims require verification"
"/Year 8/2026/1.3 Introduction to Agriculture ","1e001s3A3C3_3tClfjZtWm79GMm3QyHd-iTZP4ba3BFw","application/vnd.google-apps.document","1","student activity","Authoritative for intended student prompts; not factual authority"
"/Year 8/2026/1.4 Introduction to Agriculture ANSWERS .docx","1A9FtAS6MhkrvoyPLULEMlsa0xcE1DmCo","application/vnd.openxmlformats-officedocument.wordprocessingml.document","1","answer copy","Intended answers only; not factual authority"
"/Year 8/2026/2.1 The Value of Agriculture & Food Security - Lesson Plan.docx","15cA9I42NUGGU_Gy7qwWa2YVsQ-huYAvm","application/vnd.openxmlformats-officedocument.wordprocessingml.document","2","lesson plan","Authoritative for intended source sequence and 50-minute source lesson; not factual authority"
"/Year 8/2026/2.2 The Value of Agriculture & Food Security","1yxBn4_4WELDwKOtz-DuUKyaDwEA6iiO9yl-zjA0Tbxc","application/vnd.google-apps.presentation","2","theory slides","Teaching-intent source; dated statistics require verification"
"/Year 8/2026/2.3 The Value of Agriculture & Food Security","1qggrqpQepb6h1yPxc8TEMmtdWTc5ugACJ3_DhRcfCsA","application/vnd.google-apps.document","2","student activity","Authoritative for intended student prompts; not factual authority"
"/Year 8/2026/2.4 The Value of Agriculture & Food Security ANSWERS .docx","1LLFpp1CL3mNcb3-PYFv5-otqOsYlWTVa","application/vnd.openxmlformats-officedocument.wordprocessingml.document","2","answer copy","Intended answers only; not factual authority"
"/Year 8/2026/3.1 Introduction to Beef Cattle & Breeds - Lesson Plan.docx","1jmrqyAZ3__VspZFGvD4U-6dTG19quund","application/vnd.openxmlformats-officedocument.wordprocessingml.document","3","lesson plan","Authoritative for intended source sequence and 50-minute source lesson; not factual authority"
"/Year 8/2026/3.2 Introduction to Beef Cattle & Breeds","1cBNBGd1jpLO6wOmw6-T0p7hsorXT8SyaGA9pbH2NWy8","application/vnd.google-apps.presentation","3","theory slides and breed-image quiz","Teaching-intent source; verify breed claims and image rights"
"/Year 8/2026/3.3 Introduction to Beef Cattle & Breeds","1XLX9BikzmeKdSofwv7jPl17VZnSjEVd7WaR741iuaQ8","application/vnd.google-apps.document","3","student activity","Authoritative for intended student prompts; image-dependent"
"/Year 8/2026/3.4 Introduction to Beef Cattle & Breeds ANSWERS.docx","1zqq6-wLZFxJY7_Am5O2lzSvcC3SIcs-H","application/vnd.openxmlformats-officedocument.wordprocessingml.document","3","answer copy","Intended answers only; not factual authority"
"/Year 8/2026/4.1 Beef Cattle Farming & Nutrition - Lesson Plan.docx","12LPf62Soqo6VPoxVmXGCAhYdWpIAciWE","application/vnd.openxmlformats-officedocument.wordprocessingml.document","4","lesson plan","Authoritative for intended source sequence and 55-minute source lesson; not factual authority"
"/Year 8/2026/4.2 Beef Cattle Farming & Nutrition","1ce2ux-5kuZbmFGeDLF20YyP_TmItURNf0Gt5gP4f00Y","application/vnd.google-apps.presentation","4","theory slides","Teaching-intent source; named-farm, nutrition, emissions and welfare claims require verification"
"/Year 8/2026/4.3 Beef Cattle Farming & Nutrition","1PWF1soUhtWxqbA_CjogRqW3ZgM0vStukO_XTTXucltk","application/vnd.google-apps.document","4","student activity","Authoritative for intended student prompts; not factual authority"
"/Year 8/2026/4.4 Beef Cattle Farming & Nutrition ANSWERS.docx","19mWRxWe61UnVNo5ieahjjO7dXr3-G952","application/vnd.openxmlformats-officedocument.wordprocessingml.document","4","answer copy","Intended answers only; not factual authority"
"/Year 8/2026/4.5 Build a Beef Farm","18hxyX7_fBgGW4A2PpE56Q59gZCJKwYvM3Va0bOXj5hk","application/vnd.google-apps.presentation","4","design placeholder","One title slide only; not a plan, brief or evidence scaffold"
"/Year 8/2026/5.1 Dairy Breeds & Milk Production - Lesson Plan.docx","16QCQZ308ly_vdCf8LKq2sxLoZXI6buGD","application/vnd.openxmlformats-officedocument.wordprocessingml.document","5","lesson plan","Authoritative for intended source sequence and 60-minute source lesson; not factual authority"
"/Year 8/2026/5.2 Dairy Breeds & Milk Production","1YNejEuwGclX0zEVMQX_2eCt0LqGXKOLyDma2zaKBVeU","application/vnd.google-apps.presentation","5","theory slides and breed-image quiz","Teaching-intent source; answer-key/image mismatch is a release blocker"
"/Year 8/2026/5.3 Dairy Breeds & Milk Production","11CGY4OiAhC9iSR0WTM-ZhYnrcLree0BN5uVTGhnCy6Y","application/vnd.google-apps.document","5","student activity","Authoritative for intended student prompts; image-dependent"
"/Year 8/2026/5.4 Dairy Breeds & Milk Production ANSWERS.docx","1UBwg4FNFIA2CwKPZdbZumSDhBnfhtma2","application/vnd.openxmlformats-officedocument.wordprocessingml.document","5","answer copy","Intended answers only; apparent mismatch for images 5-7"
"/Year 8/2026/6.1 Dairy Processing & Nutrition - Lesson Plan.docx","1Tq49cgdlYCqOFn3LornVrj_GscBzEYTg","application/vnd.openxmlformats-officedocument.wordprocessingml.document","6","lesson plan","Authoritative for intended source sequence and 60-minute source lesson; not factual authority"
"/Year 8/2026/6.2 Dairy Processing & Nutrition","1WbZxKJoZ-R1Sk7zBsKZkN6fokcFb4rHJguECuccWB-Q","application/vnd.google-apps.presentation","6","theory slides","Teaching-intent source; food-law and nutrition claims require verification"
"/Year 8/2026/6.3 Dairy Processing & Nutrition","13eb51ota_jpToJDulWBhUNUQaDrJRuFZi75bXLUjVcA","application/vnd.google-apps.document","6","student activity","Authoritative for intended student prompts; not factual authority"
"/Year 8/2026/6.4 Dairy Processing & Nutrition ANSWERS.docx","1RV5WtBFFpHQXAJrpgymGae9LkR603COA","application/vnd.openxmlformats-officedocument.wordprocessingml.document","6","answer copy","Intended answers only; not factual authority"
"/Year 8/2026/7.1 What Is Horticulture & Where Do We Grow It? - Lesson Plan.docx","1Xz_6t3IJf69jUDi-FpfxqpB2qAJd4a04","application/vnd.openxmlformats-officedocument.wordprocessingml.document","7","lesson plan","Authoritative for intended source sequence and stated 60-minute source lesson; not factual authority"
"/Year 8/2026/7.2 What Is Horticulture & Where Do We Grow It?","1wRaaHybkaG_WA0zyvCCm_Ub5yVXOtjyHM4IfM-Ed6RA","application/vnd.google-apps.presentation","7","theory slides","Teaching-intent source; production-region and export claims require verification"
"/Year 8/2026/7.3 What Is Horticulture & Where Do We Grow It?","16y0N-U44JuSKS2OYfnO0YOL_RAK2S34CC4qrbGeI0mk","application/vnd.google-apps.document","7","student activity","Authoritative for intended student prompts; not factual authority"
"/Year 8/2026/7.4 What Is Horticulture & Where Do We Grow It? ANSWERS.docx","18xt0-nyhAySemDnsVC6VvFdd0rrXTIVh","application/vnd.openxmlformats-officedocument.wordprocessingml.document","7","answer copy","Intended answers only; not factual authority"
"/Year 8/2026/8.1 From Paddock to Plate – Technology, Nutrition & Choice- Lesson Plan.docx","1J13TPCCt3Qpyj0ZF2rphYU1-08g4lNii","application/vnd.openxmlformats-officedocument.wordprocessingml.document","8","lesson plan","Authoritative for intended source sequence and stated 60-minute source lesson; linked-video identity absent"
"/Year 8/2026/8.2 From Paddock to Plate – Technology, Nutrition & Choice","1kXx6dbgEUCrYTR9slyTnJXJE9tXK0khXPA86BVDVvXU","application/vnd.google-apps.presentation","8","theory slides","Teaching-intent source; technology and nutrition claims require verification"
"/Year 8/2026/8.3 From Paddock to Plate – Technology, Nutrition & Choice","1YNBui3MlIRinPJBUJK_bUSNBhLtZQ2fNLAN0C8qH6r0","application/vnd.google-apps.document","8","student activity","Authoritative for intended student prompts; some video-dependent answers"
"/Year 8/2026/8.4 From Paddock to Plate – Technology, Nutrition & Choice ANSWERS.docx","1uNFITS82wxOcrmN_gGPpvdn4O6q9Yavr","application/vnd.openxmlformats-officedocument.wordprocessingml.document","8","answer copy","Intended answers only; not factual authority"
"/Year 8/2026/9.1 Introduction to Pork and the Australian Pork Industry - Lesson Plan.docx","1SLFs7rh_AUInJPYFNfCKer_R1g1n5_My","application/vnd.openxmlformats-officedocument.wordprocessingml.document","9","lesson plan","Authoritative for intended source sequence and stated 60-minute source lesson; not factual authority"
"/Year 8/2026/9.2 Introduction to Pork and the Australian Pork Industry","1jmLa1j1bv6PD3hxB-pwZ-Hgi-UHrI3geJeVkNzkbWX0","application/vnd.google-apps.presentation","9","theory slides and label-image quiz","Teaching-intent source; statistics, label law, image currency and rights require verification"
"/Year 8/2026/9.3 Introduction to Pork and the Australian Pork Industry","1mf-WY-PgMnK8s4lBqPBZZzXFxvR02oLT-dkJws8zbUE","application/vnd.google-apps.document","9","student activity","Authoritative for intended student prompts; image-dependent"
"/Year 8/2026/9.4 Introduction to Pork and the Australian Pork Industry ANSWERS.docx","1w_6g4PvOf-ZwyRHUVBzoFUQ0kTTuKwb7","application/vnd.openxmlformats-officedocument.wordprocessingml.document","9","answer copy","Intended answers only; not factual authority"
"/Year 8/2026/10.1 Pig Farming Systems and Feeding - Lesson Plan.docx","1a8flVlZOpK7GJ3RHbOpS16rZIiEO4ry0","application/vnd.openxmlformats-officedocument.wordprocessingml.document","10","lesson plan","Authoritative for intended source sequence and stated 60-minute source lesson; linked-video identity absent"
"/Year 8/2026/10.2 Pig Farming Systems and Feeding","1y9UkymrFNbfa8ZyU_qRp_jnz34mSY7wuyGWxCEdBAjM","application/vnd.google-apps.presentation","10","theory slides and systems-image activity","Teaching-intent source; categories, welfare and meat-quality claims require verification"
"/Year 8/2026/10.3 Pig Farming Systems and Feeding","1B_nnBUq99vYQgg9xrc1HgJM05OA9c8LksPg0xze67Ws","application/vnd.google-apps.document","10","student activity","Authoritative for intended student prompts; image-dependent"
"/Year 8/2026/10.4 Pig Farming Systems and Feeding ANSWERS.docx","11xlaHFnYNDu4LUaxjDaG3fM6Loyef-01","application/vnd.openxmlformats-officedocument.wordprocessingml.document","10","answer copy","Intended answers only; not factual authority"
"/Year 8/2026/11.1 The Australian Poultry Industry – From Farm to Plate - Lesson Plan.docx","15gcs28RgHFpczMgq8iN-46ShdJ4Ni3Zv","application/vnd.openxmlformats-officedocument.wordprocessingml.document","11","lesson plan","Authoritative for intended source sequence and approximately 65-minute source lesson; not factual authority"
"/Year 8/2026/11.2 The Australian Poultry Industry – From Farm to Plate","1nOUMPmjttHC8VkDE2btHmyFuLo-VTLqkJeFKDhKJatE","application/vnd.google-apps.presentation","11","theory slides","Teaching-intent source; statistics, system trade-offs and regulation claims require verification"
"/Year 8/2026/11.3 The Australian Poultry Industry – From Farm to Plate","1A9iHHn8GAgqRnqiXzlIY-9rtR7kYDk70VwWN-uhkeAo","application/vnd.google-apps.document","11","student activity","Authoritative for intended student prompts; not factual authority"
"/Year 8/2026/11.4 The Australian Poultry Industry – From Farm to Plate ANSWERS.docx","1c1M_hJV8NYQehGwhAEYquKoYkjy8qq7P","application/vnd.openxmlformats-officedocument.wordprocessingml.document","11","answer copy","Intended answers only; not factual authority"
